#Frame           dist
       1       4.0902
       2       4.8202
       3       4.8447
       4       4.4949
       5       4.6063
       6       4.6587
       7       4.1917
       8       5.5284
       9       4.8138
      10       4.9914
      11       4.3169
      12       4.4785
      13       4.4683
      14       5.0706
      15       4.6948
      16       5.2574
      17       4.7425
      18       5.3638
      19       4.9890
      20       7.7134
      21       6.5152
      22       6.5810
      23       6.8094
      24       7.5965
      25       6.6090
      26       7.7371
      27       7.3958
      28       6.9961
      29       7.1073
      30       7.3114
      31       7.2899
      32       7.4963
      33       7.9642
      34       8.8686
      35      10.4110
      36      11.0258
      37      11.0808
      38      11.0806
      39      11.0472
      40      10.9051
      41      10.5156
      42      11.8700
      43      11.6280
      44      12.9767
      45      13.5738
      46      12.3160
      47      14.4120
      48      13.5075
      49      14.7239
      50      14.7020
      51      16.3739
      52      17.5498
      53      17.8542
      54      18.7753
      55      20.3492
      56      21.1836
      57      20.2030
      58      19.7141
      59      18.9883
      60      18.8144
