#Frame           dist
       1       4.7973
       2       4.9641
       3       5.2363
       4       4.9414
       5       5.2750
       6       4.8576
       7       4.3074
       8       4.3077
       9       4.3743
      10       5.0997
      11       4.5352
      12       4.1841
      13       4.7079
      14       5.0007
      15       5.0664
      16       4.8388
      17       4.8241
      18       5.7678
      19       5.1521
      20       4.4707
      21       5.0676
      22       6.2389
      23       6.7422
      24       6.7996
      25       6.3388
      26       9.0887
      27      12.1928
      28      13.1585
      29      16.8875
      30      15.2977
      31      15.9008
      32      18.9336
      33      14.6134
      34      15.7858
      35      17.5031
      36      19.8088
      37      16.4085
      38      16.5347
      39      19.5297
      40      20.6023
      41      21.0959
      42      20.1877
      43      25.2807
      44      23.0401
      45      28.4462
      46      27.2315
      47      29.5227
      48      30.5378
      49      29.0735
      50      24.6579
      51      23.3280
      52      27.0563
      53      29.2199
      54      31.1933
      55      30.8119
      56      32.1100
      57      34.4358
      58      34.7290
      59      33.6270
      60      34.7530
