#Frame           dist
       1       5.4148
       2       5.1334
       3       5.1065
       4       4.9686
       5       4.9161
       6       4.4581
       7       4.4710
       8       4.5238
       9       4.3688
      10       5.0001
      11       4.4149
      12       4.7754
      13       4.9385
      14       4.7267
      15       4.9270
      16       4.9355
      17       4.4322
      18       4.9691
      19       4.9851
      20       5.0483
      21       4.7956
      22       6.0032
      23       6.0647
      24       6.7547
      25       7.5132
      26       8.4074
      27       7.9440
      28       8.2221
      29       8.0526
      30       8.2049
      31       9.2552
      32      10.0438
      33      10.3966
      34      10.7602
      35      13.0708
      36      14.3480
      37      15.7943
      38      16.3744
      39      15.6177
      40      16.7772
      41      16.0941
      42      16.0295
      43      17.1098
      44      17.4885
      45      17.6707
      46      17.8134
      47      18.7536
      48      18.9843
      49      19.1137
      50      25.1972
      51      25.7611
      52      21.8251
      53      23.6203
      54      27.0527
      55      31.2059
      56      24.2471
      57      27.8903
      58      30.1046
      59      25.7506
      60      25.4281
